generation,fitness_min,fitness_mean,fitness_max,fitness_std,labels_entropy,labels_imbalance
0,0.017578125,0.09775390625,0.216796875,0.035835852127855033,0.9999867977219693,1.0196078431372548
1,0.025390625,0.10134765625,0.201171875,0.04052806851761572,0.9999867977219693,1.0196078431372548
2,0.02734375,0.1029296875,0.216796875,0.043852332190822164,0.9999704845738883,1.0392156862745099
3,0.009765625,0.10453125,0.208984375,0.045334787083672015,0.9999867977219693,1.0196078431372548
4,0.033203125,0.108203125,0.248046875,0.045515775188561,0.9999867977219693,1.0196078431372548
5,0.02734375,0.1056640625,0.232421875,0.04410301564257859,0.9999867977219693,1.0196078431372548
6,0.03515625,0.1104296875,0.2578125,0.04051067522430238,0.9999867977219693,1.0196078431372548
7,0.009765625,0.099453125,0.19921875,0.041696981973088444,0.9999867977219693,1.0196078431372548
8,0.02734375,0.1094140625,0.197265625,0.039035127128041275,0.9999867977219693,1.0196078431372548
9,0.013671875,0.107265625,0.23046875,0.04337140880306403,0.9999867977219693,1.0196078431372548
10,0.029296875,0.10447265625,0.23046875,0.04353015266782532,0.9999867977219693,1.0196078431372548
11,0.025390625,0.1140234375,0.259765625,0.05448118168427374,0.9999867977219693,1.0196078431372548
12,0.025390625,0.11654296875,0.29296875,0.05685509972827684,0.9999867977219693,1.0196078431372548
13,0.03515625,0.123046875,0.279296875,0.05555258848956208,0.9999867977219693,1.0196078431372548
14,0.015625,0.1122265625,0.2265625,0.048757308020944086,0.9999704845738883,1.0392156862745099
15,0.015625,0.1230859375,0.265625,0.054661670797685386,0.9999867977219693,1.0196078431372548
16,0.03515625,0.1257421875,0.240234375,0.05278699631519555,0.9999867977219693,1.0196078431372548
17,0.01171875,0.12578125,0.25390625,0.05092677465688481,0.9999867977219693,1.0196078431372548
18,0.015625,0.12302734375,0.25,0.05540440741679361,0.9999867977219693,1.0196078431372548
19,0.017578125,0.12537109375,0.255859375,0.05286564607601216,0.9999867977219693,1.0196078431372548
20,0.0234375,0.124453125,0.25,0.0516682450248246,0.9999867977219693,1.0196078431372548
21,0.03125,0.125234375,0.28125,0.05069876112769238,0.9999867977219693,1.0196078431372548
22,0.029296875,0.1284375,0.271484375,0.05021022091347226,0.9999867977219693,1.0196078431372548
23,0.029296875,0.13103515625,0.31640625,0.06220210684982959,0.9999867977219693,1.0196078431372548
24,0.04296875,0.1317578125,0.2734375,0.05689357579977862,0.9999867977219693,1.0196078431372548
25,0.025390625,0.13380859375,0.2578125,0.051187151077441345,0.9999867977219693,1.0196078431372548
26,0.025390625,0.143828125,0.263671875,0.05351670847443348,0.9999867977219693,1.0196078431372548
27,0.04296875,0.1419921875,0.255859375,0.05752906396495247,0.9999867977219693,1.0196078431372548
28,0.03515625,0.14513671875,0.283203125,0.057641146369245146,0.9999867977219693,1.0196078431372548
29,0.03125,0.1449609375,0.296875,0.06162942259976536,0.9999867977219693,1.0196078431372548
30,0.02734375,0.14568359375,0.29296875,0.0661392235845138,0.9999867977219693,1.0196078431372548
31,0.0078125,0.15064453125,0.302734375,0.06435222630299099,0.9999867977219693,1.0196078431372548
32,0.01953125,0.15603515625,0.33203125,0.06533656794786558,0.9999867977219693,1.0196078431372548
33,0.029296875,0.16203125,0.33203125,0.064346455291599,0.9999704845738883,1.0392156862745099
34,0.0625,0.17640625,0.302734375,0.05596163607252796,0.9999867977219693,1.0196078431372548
35,0.044921875,0.1697265625,0.328125,0.05932390122326462,0.9999867977219693,1.0196078431372548
36,0.029296875,0.1746484375,0.3359375,0.0648591496209346,0.9999867977219693,1.0196078431372548
37,0.060546875,0.18439453125,0.330078125,0.06584673234135602,0.9999867977219693,1.0196078431372548
38,0.052734375,0.17255859375,0.35546875,0.06746308341531215,0.9999867977219693,1.0196078431372548
39,0.046875,0.16841796875,0.375,0.06825653816178384,0.9999704845738883,1.0392156862745099
